SYMBOL,SERIES,SECURITY,HIGH/LOW,INDEX FLAG
AMTL,EQ,ADV METERING TECH LTD,H
ARVINFRA,EQ,ARVIND INFRASTRUCTURE LTD,H
ATNINTER,EQ,ATN INTERNATIONAL LTD,H
AUSTRAL,EQ,AUSTRAL COKE & PRO LTD,H
BLBLIMITED,EQ,BLB LIMITED,H
BURNPUR,EQ,BURNPUR CEMENT LTD.,H
COUNCODOS,EQ,COUNTRY CONDO'S LIMITED,H
CTE,EQ,CAMBRIDGE TECH ENTER LTD,H
DYNATECH,EQ,DYNACONS TECHNOLOGIES LTD,H
EASTSILK,EQ,EASTERN SILK INDUSTRIES L,H
EUROCERA,EQ,EURO CERAMICS LTD,H
FCSSOFT,EQ,FCS SOFTWARE SOLN. LTD.,H
GENUSPAPER,EQ,GENUS P&B LIMITED,H
GLOBALVECT,EQ,GLOBAL VEC HELICORP LTD,H
GREENFIRE,BE,GREEN FIRE AGRI COMM LTD,H
HCPO36MSRG,MF,HDFCAMC - HCPO36MSRG,H
INDOWIND,BE,INDOWIND ENERGY LTD,H
INDSWFTLTD,BE,IND-SWIFT LIMITED,H
INFINITE,EQ,INFINITE COMPUTER SOL LTD,H
JCTEL,EQ,JCT ELE. LTD,H
JUBLINDS,EQ,JUBILANT INDUSTRIES LTD,H
JYOTISTRUC,EQ,JYOTI STRUCTURES LTD,H
KGL,EQ,KARUTURI GLOBAL LIMITED,H
KSERASERA,EQ,KSS LIMITED,H
LCCINFOTEC,EQ,LCC INFOTECH LTD,H
LYCOS,EQ,LYCOS INTERNET LIMITED,H
MANAKALUCO,EQ,MANAK ALUMINIUM CO. LTD.,H
MANAKSTEEL,EQ,MANAKSIA STEELS LTD,H
MANGTIMBER,EQ,MANGALAM TIMBER PRODUCTS,H
NAKODA,EQ,NAKODA LIMITED,H
NEPCMICON,BE,NEPC INDIA LTD,H
NIRVIKARA,EQ,NIRVIKARA PAPER MILLS LTD,H
NUTEK,EQ,NU TEK INDIA LTD,H
OISL,EQ,OCL IRON AND STEEL LTD,H
PARASPETRO,BE,PARAS PETROFILS LTD.,H
PRAKASHCON,EQ,PRAKASH CONSTROWELL LTD,H
RASOYPR,EQ,RASOYA PROTEINS LTD,H
RMMIL,EQ,RESURGERE MINES & MINERAL,H
SANWARIA,EQ,SANWARIA AGRO OILS LTD,H
SATIN,EQ,SATIN CREDIT NET LTD,H
SHREEPUSHK,BE,SHRE PUSH CHEM & FERT LTD,H
SKIL,EQ,SKIL INFRASTRUCTURE LTD.,H
SPYL,EQ,SHEKHAWATI POLY-YARN LTD.,H
SREEL,EQ,SREELEATHERS LIMITED,H
SRGINFOTEC,BE,SRG INFOTEC (INDIA) LTD.,H
SUPREMETEX,EQ,SUPREME TEX MART LIMITED,H
TRICOM,EQ,TRICOM INDIA LIMITED,H
VISESHINFO,EQ,VISESH INFOTECNICS LTD,H
VKSPL,EQ,VKS PROJECTS LIMITED,H
WELSYNTEX,EQ,WELSPUN SYNTEX LIMITED,H
ZYLOG,EQ,ZYLOG SYSTEMS LTD.,H
ANKITMETAL,EQ,ANKIT MET & POW LTD,L
ARVINFRA,EQ,ARVIND INFRASTRUCTURE LTD,L
ATNINTER,EQ,ATN INTERNATIONAL LTD,L
BGLOBAL,BE,BHARATIYA GLOBAL INFO LTD,L
BILENERGY,EQ,BIL ENERGY SYSTEMS LTD,L
BINDALAGRO,EQ,OSWAL CHEM. & FERT. LTD.,L
CASTEXTECH,EQ,CASTEX TECHNOLOGIES LTD.,L
CMAHENDRA,EQ,C.MAHENDRA EXPORTS LTD,L
COUNCODOS,EQ,COUNTRY CONDO'S LIMITED,L
CURATECH,EQ,CURA TECHNOLOGIES LTD,L
EASTSILK,EQ,EASTERN SILK INDUSTRIES L,L
ENTEGRA,BE,ENTEGRA LIMITED,L
FARMAXIND,EQ,FARMAX INDIA LTD,L
FCL,EQ,FINEOTEX CHEMICAL LIMITED,L
GINNIFILA,EQ,GINNI FILAMENTS LTD,L
GOENKA,BZ,GOENKA DIAMOND&JEWELS LTD,L
GREENFIRE,BE,GREEN FIRE AGRI COMM LTD,L
GTNTEX,EQ,GTN TEXTILES LIMITED,L
HELIOSMATH,BE,HELIOS & MATHINFTECH LTD.,L
ICSA,EQ,ICSA (INDIA) LIMITED,L
IMPEXFERRO,EQ,IMPEX FERRO TECH LIMITED,L
INDOWIND,BE,INDOWIND ENERGY LTD,L
IZMO,EQ,IZMO LIMITED,L
JCTEL,EQ,JCT ELE. LTD,L
JMTAUTOLTD,EQ,JMT AUTO LIMITED,L
KANANIIND,EQ,KANANI INDUSTRIES LTD,L
LCCINFOTEC,EQ,LCC INFOTECH LTD,L
MANAKALUCO,EQ,MANAK ALUMINIUM CO. LTD.,L
MANAKCOAT,EQ,MAN COAT METAL & IND LTD,L
MANAKINDST,EQ,MANAKSIA INDUSTRIES LTD,L
MANAKSTEEL,EQ,MANAKSIA STEELS LTD,L
MEGASOFT,EQ,MEGASOFT LTD,L
METALFORGE,EQ,METALYST FORGINGS LIMITED,L
MURLIIND,BE,MURLI INDUST. LTD.,L
MVL,EQ,MVL LIMITED,L
NAKODA,EQ,NAKODA LIMITED,L
NCOPPER,EQ,NISSAN COPPER LIMITED,L
NITINSPIN,EQ,NITIN SPINNERS LIMITED,L
OISL,EQ,OCL IRON AND STEEL LTD,L
PATSPINLTD,EQ,PATSPIN INDIA LTD,L
PENPEBS,BE,PENNAR ENG BLDG SYS LTD,L
RAJOIL,BE,RAJ OIL MILLS LTD,L
REFEX,EQ,REFEX INDUSTRIES LIMITED,L
REIAGROLTD,EQ,REI AGRO LIMITED,L
SHRENUJ,EQ,SHRENUJ & CO LTD,L
SHYAMCENT,EQ,SHYAM CENTURY FERROUS LTD,L
SPYL,EQ,SHEKHAWATI POLY-YARN LTD.,L
SRGINFOTEC,BE,SRG INFOTEC (INDIA) LTD.,L
STEL,BE,STEL HOLDINGS LIMITED,L
SUDAR,EQ,SUDAR INDUSTRIES LIMITED,L
SURANACORP,EQ,SURANA CORPORATION LTD,L
SURANAT&P,EQ,SURANA TELECOM AND POW LT,L
TFL,EQ,TRANSWARRANTY FIN. LTD.,L
UNIPLY,EQ,UNIPLY INDUSTRIES LIMITED,L
VKSPL,EQ,VKS PROJECTS LIMITED,L
WANBURY,BE,WANBURY LIMITED,L
ZENTEC,EQ,ZEN TECHNOLOGIES LIMITED,L
ZYLOG,EQ,ZYLOG SYSTEMS LTD.,L
